stock_code,year,close_yearend,close_m01,close_m02,close_m03,close_m04,close_m05,close_m06,close_m07,close_m08,close_m09,close_m10,close_m11,close_m12,shares,market_cap,momentum_12m,volatility_annual
1680,2021,23300.0,26250.0,24950.0,25150.0,25850.0,29900.0,27750.0,27150.0,25250.0,24300.0,23850.0,21450.0,23300.0,34648025.0,807298982500.0,-0.1123809523809523,0.2614037499715319
1720,2021,60000.0,53500.0,54400.0,57100.0,62200.0,62900.0,65100.0,64300.0,63000.0,63000.0,62700.0,57900.0,60000.0,16440000.0,986400000000.0,0.1214953271028036,0.1486924118397456
1740,2021,5020.0,5160.0,5560.0,5630.0,5300.0,6060.0,6020.0,6200.0,5560.0,5160.0,5090.0,4790.0,5020.0,200593889.0,1006981322780.0,-0.0271317829457364,0.2519477219353757
1750,2021,15700.0,9260.0,9940.0,11300.0,14250.0,15650.0,16850.0,15800.0,19000.0,18550.0,17800.0,14500.0,15700.0,12728534.0,199837983800.0,0.695464362850972,0.4398215712033317
1780,2021,3410.0,4805.0,4540.0,4595.0,4900.0,5320.0,5090.0,4760.0,4320.0,4560.0,3995.0,3130.0,3410.0,96830132.0,330190750120.0,-0.2903225806451612,0.3383482038105513
1790,2021,3020.0,1990.0,2235.0,3065.0,3570.0,3350.0,3540.0,3120.0,2995.0,3260.0,3300.0,3155.0,3020.0,86241915.0,260450583300.0,0.5175879396984924,0.4787985967725964
1800,2021,15950.0,13400.0,13750.0,14250.0,17600.0,17200.0,17050.0,16800.0,15950.0,16600.0,16000.0,14700.0,15950.0,62645422.0,999194480900.0,0.1902985074626866,0.2968979917388528
1810,2021,3205.0,3490.0,3570.0,3725.0,3500.0,3475.0,4020.0,3570.0,3585.0,3350.0,3290.0,2690.0,3205.0,22137500.0,70950687500.0,-0.0816618911174784,0.3758533100406747
1820,2021,60200.0,74800.0,67900.0,68300.0,64500.0,59700.0,60300.0,60800.0,62800.0,59100.0,56700.0,53000.0,60200.0,10395000.0,625779000000.0,-0.195187165775401,0.2267276192841663
1940,2021,14550.0,14300.0,14800.0,17300.0,19700.0,19100.0,20850.0,21000.0,22300.0,21600.0,18300.0,14100.0,14550.0,14176380.0,206266329000.0,0.0174825174825175,0.4091047982038261
2020,2021,33050.0,20250.0,22700.0,23200.0,31750.0,30850.0,34400.0,30550.0,32650.0,39300.0,35300.0,28500.0,33050.0,12907680.0,426598824000.0,0.6320987654320989,0.5599403495655949
2030,2021,128000.0,91000.0,91600.0,121000.0,129000.0,139000.0,130000.0,129500.0,137500.0,138500.0,124500.0,120000.0,128000.0,2058852.0,263533056000.0,0.4065934065934067,0.383969426145778
2070,2021,2965.0,4460.0,3180.0,3495.0,3435.0,3640.0,4350.0,3565.0,3370.0,3235.0,3050.0,2780.0,2965.0,2404344.0,7128879960.0,-0.3352017937219731,0.4626049426484382
2100,2021,12250.0,12500.0,13150.0,13600.0,14600.0,15500.0,16750.0,18000.0,14750.0,14200.0,13250.0,10450.0,12250.0,19522575.0,239151543750.0,-0.02,0.4064870602889018
2140,2021,2910.0,3970.0,4030.0,4250.0,4605.0,4080.0,4400.0,4115.0,3690.0,3445.0,3355.0,2620.0,2910.0,24939425.0,72573726750.0,-0.2670025188916877,0.3529180146175576
2150,2021,7650.0,8010.0,8050.0,8640.0,9240.0,9380.0,9430.0,9050.0,8460.0,8190.0,7910.0,7330.0,7650.0,33720000.0,257958000000.0,-0.0449438202247191,0.1756872141376973
2170,2021,58000.0,61500.0,62900.0,70000.0,82700.0,78700.0,78400.0,78000.0,68000.0,66500.0,64000.0,57500.0,58000.0,3000000.0,174000000000.0,-0.056910569105691,0.3044530200754167
2200,2021,2550.0,2335.0,2170.0,2445.0,2480.0,2560.0,2860.0,2795.0,2645.0,2680.0,2580.0,2415.0,2550.0,33499941.0,85424849550.0,0.0920770877944325,0.2377008371542422
2220,2021,2675.0,2000.0,2225.0,2335.0,3120.0,3010.0,3205.0,2990.0,3070.0,3310.0,3235.0,2535.0,2675.0,26697460.0,71415705500.0,0.3374999999999999,0.4673732307744436
